round,x_1,x_2,x_3,x_4,balance_error_kw,cost
0,150.0,300.0,100.0,250.0,0.0,1080825.24
10,314.5530437151073,131.03000559376568,175.53492497649157,178.88202571463535,-1.1368683772161603e-13,965756.6149191225
20,329.1155865806942,101.56653148130542,201.03561803735914,168.2822639006412,0.0,959453.7384132291
30,327.43943025201514,92.70839249139614,210.80104004904427,169.05113720754443,0.0,958122.6897930313
40,325.62384370236026,88.46299927722293,216.23230661371483,169.68085040670195,0.0,957597.8629176166
50,324.3011775689374,86.09081864964683,219.63776200472392,169.97024177669175,-1.1368683772161603e-13,957349.6124962016
60,323.34910270578035,84.65933726407224,221.89246333035746,170.09909669978992,0.0,957219.3617433147
70,322.65648198489606,83.75641573375891,223.43203942994876,170.15506285139628,0.0,957146.2697760914
80,322.148419298883,83.17141267516365,224.50348288792605,170.17668513802718,-1.1368683772161603e-13,957103.2883414866
90,321.7739013923908,82.78602158471475,225.25818795190034,170.18188907099417,1.1368683772161603e-13,957077.1384941611
100,321.4971547413966,82.52945077032682,225.7939085473806,170.17948594089603,1.1368683772161603e-13,957060.819553112
110,321.29250653473986,82.35749688381982,226.17605927354933,170.17393730789112,1.1368683772161603e-13,957050.4374864319
120,321.14123450747655,82.24176174523336,226.44950232415346,170.1675014231367,1.1368683772161603e-13,957043.7343541923
130,321.0295429401231,82.16365346598417,226.64552466629675,170.161278927596,0.0,957039.3572143978
140,320.94720435656774,82.1108480523001,226.78619391311688,170.15575367801532,0.0,957036.4739224828
150,320.8866139635775,82.07510972210189,226.88719234212735,170.15108397219336,1.1368683772161603e-13,957034.5618640503
160,320.8421123357281,82.05090565690529,226.9597191456008,170.14726286176582,0.0,957033.2873160222
170,320.8094901824449,82.0345062488968,227.01179677540065,170.14420679325764,0.0,957032.4343431396
180,320.78562134128566,82.02339194109106,227.04918279105118,170.1418039265722,1.1368683772161603e-13,957031.8617605077
190,320.76818865556623,82.01585828091513,227.0760135802261,170.13993948329264,1.1368683772161603e-13,957031.4764980443
200,320.7554784635866,82.01075122236809,227.09526228067546,170.13850803336996,1.1368683772161603e-13,957031.2168091233
210,320.746226385676,82.00728896420293,227.10906616997357,170.13741848014766,1.1368683772161603e-13,957031.0415236888
220,320.73950170902384,82.00494170388104,227.11896147639038,170.1365951107048,1.1368683772161603e-13,957030.9230849532
230,320.7346208826725,82.00335033843119,227.12605211129025,170.135976667606,0.0,957030.8429928467
240,320.7310829611211,82.00227143703383,227.1311310443816,170.13551455746355,1.1368683772161603e-13,957030.7887988322
250,320.72852156587464,82.00153997014104,227.13476765336526,170.1351708106191,0.0,957030.7521115494
260,320.72666924363364,82.00104405475969,227.13737059130713,170.13491611029963,1.1368683772161603e-13,957030.7272668255
270,320.72533109841356,82.0007078375503,227.1392330258625,170.1347280381738,1.1368683772161603e-13,957030.7104373575
280,320.7243653383917,82.0004798917732,227.1405651827055,170.1345895871298,2.2737367544323206e-13,957030.6990349629
290,320.72366896144615,82.00032535124765,227.1415177462638,170.13448794104258,2.2737367544323206e-13,957030.6913083389
300,320.7231672474548,82.00022057749499,227.14219867838082,170.13441349666962,2.2737367544323206e-13,957030.6860719104
310,320.7228060622636,82.0001495441953,227.1426853003223,170.13435909321905,2.2737367544323206e-13,957030.6825227975
320,320.7225462326101,82.00010138591624,227.14303296778496,170.1343194136889,2.2737367544323206e-13,957030.6801171375
330,320.7223594425267,82.0000687361928,227.14328129657707,170.13429052470357,1.1368683772161603e-13,957030.6784864479
340,320.7222252449147,82.0000466007752,227.14345862838067,170.13426952592968,2.2737367544323206e-13,957030.677381033
350,320.72212888872633,82.00003159371343,227.14358523262305,170.1342542849375,3.410605131648481e-13,957030.6766316696
360,320.72205974148625,82.00002141943968,227.143675601149,170.1342432379254,3.410605131648481e-13,957030.6761236631
370,320.7220101455862,82.0000145216331,227.1437400920425,170.13423524073858,3.410605131648481e-13,957030.6757792706
380,320.7219745901105,82.0000098451595,227.1437861067334,170.13422945799698,3.410605131648481e-13,957030.675545794
390,320.7219491118344,82.00000667467323,227.1438189325801,170.13422528091255,3.410605131648481e-13,957030.6753875096
400,320.7219308624388,82.0000045251943,227.1438423457827,170.13422226658454,3.410605131648481e-13,957030.675280201
410,320.72191779612655,82.00000306792282,227.14385904265302,170.13422009329793,3.410605131648481e-13,957030.6752074505
420,320.7219084443513,82.00000207994384,227.14387094800867,170.13421852769653,3.410605131648481e-13,957030.6751581291
430,320.7219017535024,82.00000141012879,227.14387943563395,170.13421740073542,5.684341886080801e-13,957030.6751246915
440,320.7218969680442,82.00000095601771,227.14388548583517,170.13421659010353,5.684341886080801e-13,957030.675102022
450,320.7218935464435,82.00000064814637,227.1438897980098,170.13421600740102,6.821210263296962e-13,957030.6750866531
460,320.72189110072514,82.00000043942043,227.14389287105308,170.134215588802,6.821210263296962e-13,957030.6750762333
470,320.7218893530442,82.0000002979116,227.1438950607782,170.13421528826663,6.821210263296962e-13,957030.6750691691
480,320.721888104502,82.00000020197356,227.14389662091145,170.1342150726137,6.821210263296962e-13,957030.67506438
490,320.72188721276626,82.00000013693096,227.14389773235513,170.13421491794836,6.821210263296962e-13,957030.6750611331
500,320.7218865760194,82.00000009283438,227.14389852407075,170.1342148070763,7.958078640513122e-13,957030.675058932
510,320.7218861214493,82.00000006293844,227.14389908797992,170.13421472763312,7.958078640513122e-13,957030.6750574395
520,320.7218857970026,82.00000004267005,227.14389948959442,170.13421467073383,9.094947017729282e-13,957030.675056428
