round,x_1,x_2,x_3,x_4,balance_error_kw,cost
0,150.0,300.0,100.0,250.0,0.0,1080825.24
10,297.824312466208,178.41515344107205,119.0574806104556,204.70305348226432,0.0,990883.4567549176
20,316.46616526860987,130.80799161284205,171.82494403097763,180.90089908757037,-1.1368683772161603e-13,966408.6547854892
30,315.5352983116929,110.77907923756577,201.35923922102054,172.32638322972068,-1.1368683772161603e-13,960206.4462302967
40,316.3121907959245,100.38020392931539,213.9104440984618,169.3971611762982,-1.1368683772161603e-13,958516.8697087938
50,317.2412775503539,94.44477283447924,219.63437838047193,168.6795712346947,-2.2737367544323206e-13,957884.3276050317
60,318.0277313447083,90.77242006998678,222.49931541672575,168.70053316857891,-2.2737367544323206e-13,957578.1037535494
70,318.65004343160786,88.36037984078874,224.06695476964003,168.92262195796306,-3.410605131648481e-13,957404.3887161117
80,319.13031747469796,86.70523140624582,224.9987427263971,169.16570839265876,-3.410605131648481e-13,957295.973917871
90,319.4973383270221,85.53206772579365,225.59362808971454,169.37696585746943,-3.410605131648481e-13,957224.0367878568
100,319.7772110923416,84.68017001461652,225.99564938443714,169.54696950860446,-2.2737367544323206e-13,957174.2504504586
110,319.9909968764528,84.05019482044007,226.2790903734974,169.67971792960952,-2.2737367544323206e-13,957138.7335608979
120,320.1548528779962,83.57785913099335,226.4850718617005,169.78221612930972,-2.2737367544323206e-13,957112.8214167956
130,320.28092017490326,83.21997216193823,226.63797906120692,169.86112860195138,-2.2737367544323206e-13,957093.5947753051
140,320.3782685952125,82.94660735660592,226.75319350241426,169.921930545767,-3.410605131648481e-13,957079.1443488514
150,320.45368398187384,82.73650246324316,226.84092966598837,169.9688838888942,-4.547473508864641e-13,957068.1762120441
160,320.51226831531886,82.57424116190907,226.9082516031349,170.00523891963667,-4.547473508864641e-13,957059.7877907482
170,320.55788101284656,82.44846126196406,226.96019792738045,170.03345979780843,-4.547473508864641e-13,957053.3345433681
180,320.5934595304134,82.35067777790165,227.00044668642636,170.05541600525805,-5.684341886080801e-13,957048.3473383157
190,320.62125222669675,82.27448739161721,227.0317295042186,170.07253087746685,-5.684341886080801e-13,957044.4794112754
